Abbreviation,Log_file,SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K 
CF3OH,cf3oh.log,C(F)(F)(F)O,2.5913,0.063256,-6.19E-05,2.85E-08,-4.94E-12,-211.99,69.302
PFHpA,1_heptane.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,12.695,0.27476,-0.00026931,1.23E-07,-2.11E-11,-726.25,151.7
PFHxA,1_hexane.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)F)(F)F,10.971,0.23643,-0.00023117,1.05E-07,-1.81E-11,-627.8,137.71
PFPnA,1_pentane.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)F,9.2229,0.19813,-0.00019306,8.77E-08,-1.50E-11,-529.33,123.69
PFBA,1_butane.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)F,7.4932,0.15978,-0.00015489,7.02E-08,-1.20E-11,-430.68,110.04
PFPrA,1_propane.log,C(F)(F)(C(F)(F)C(=O)O)F,5.734,0.12156,-0.00011689,5.28E-08,-9.03E-12,-331.96,96.214
TFA,tfa.log,C(F)(F)(C(=O)O)F,3.9462,0.08361,-7.93E-05,3.56E-08,-6.09E-12,-250.52,80.676
C2F6,c2f6.log,C(F)(F)(F)C(F)(F)F,4.4745,0.092686,-9.19E-05,4.20E-08,-7.22E-12,-320.02,79.457408
C3F8,c3f8.log,C(F)(F)(F)C(F)(F)C(F)(F)F,1.9759,0.054518,-1.01E-05,-6.90E-09,2.45E-12,-418.32,64.110605
C4F10,butane.log,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.0151,0.16889,-0.00016744,7.65E-08,-1.32E-11,-516.57,112.543919
C5F12,pentane.log,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.7925,0.20703,-0.00020533,9.38E-08,-1.61E-11,-615.05,126.598051
C6F14,hexane.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,11.36,0.24597,-0.00024426,1.1171E-07,-1.9232E-11,-713.26,139.81
C7F16,heptane.log,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(C(F)(F)F)(F)F)(F)F,13.078,0.28431,-0.00028241,1.29E-07,-2.22E-11,-811.67,153.808976
C8F18,n_octane_twisted.log,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,14.412,0.32398,-0.00032223,1.48E-07,-2.54E-11,-909.28,166.526512
CF3H,cf3h.log,C(F)(F)F,2.8492,0.04023,-3.15E-05,1.18E-08,-1.71E-12,-164.85,62.105
C2F5H,ethane1H.log,C(F)(F)(C(F)F)F,4.1197,0.080406,-7.22E-05,3.07E-08,-5.01E-12,-263.33,79.748
C3F7H,propane1H.log,C(F)(F)(C(F)(F)C(F)F)F,5.9291,0.11846,-0.00011,4.81E-08,-8.01E-12,-361.38,95.555
C4F9H,butane1H.log,C(F)(F)(F)C(F)(F)C(F)(F)C(F)F,7.3881,0.1577,-0.00014927,6.61E-08,-1.11E-11,-458.61,108.51
sC4F9H,c4f9H_secondary.log,F[C@H](C(F)(C(F)(F)F)F)C(F)(F)F,6.6609,0.16006,-0.00015202,6.75E-08,-1.14E-11,-457.83,107.67
C5F11H,pentane1H.log,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(F)(F)F,9.373,0.19517,-0.00018633,8.30E-08,-1.40E-11,-556.45,123.18
C6F13H,hexane1H.log,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)F)(F)F,10.96,0.23396,-0.00022504,1.01E-07,-1.71E-11,-654.01,136.85
C7F15H,heptane1H.log,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)F)(F)F,12.771,0.27204,-0.00026288,1.18E-07,-2.01E-11,-751.79,150.76
C8F17H,octane1H.log,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)C(F)(F)F)(F)F,14.24,0.3113,-0.00030219,1.36E-07,-2.32E-11,-958.27,164.19
cC3F6,cpropane.log,C1(F)(F)C(F)(F)C1(F)F,6.2633,0.099252,-9.60E-05,4.30E-08,-7.29E-12,-234.7,87.044
C3F6,propene.log,C(=C(C(F)(F)F)F)(F)F,6.3689,0.09903,-9.65E-05,4.37E-08,-7.48E-12,-264.42,89.765305
cC4F8,cbutane.log,C1(F)(F)C(F)(F)C(F)(F)C1(F)F,6.2333,0.14106,-0.00013679,6.14E-08,-1.04E-11,-370.51,96.448287
1C4F8,butene.log,C(=C(F)C(C(F)(F)F)(F)F)(F)F,8.2447,0.13653,-0.00013345,6.05E-08,-1.04E-11,-371.81,104.398839
1C4F8_OH,butene_OH.log,FC(O)(F)[C](C(F)(F)C(F)(F)F)F,8.959,0.16092,-0.00015895,7.29E-08,-1.26E-11,-419.97,44.901
2C4F8_OH,butene_2OH.log,F[C](F)[C@@](C(F)(F)C(F)(F)F)(F)O,8.3784,0.16198,-0.00015979,7.32E-08,-1.27E-11,-414.97,44.591
2C4F8,2_butene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)F,7.1603,0.14015,-0.00013764,6.26E-08,-1.07E-11,-379.88,106.06
rC4F8,cbutane_diradical.log,[C](F)(F)C(C([C](F)F)(F)F)(F)F,9.9754,0.13412,-0.00013135,5.94E-08,-1.01E-11,-296.79,107.9
1C5F10,pentene.log,C(=C(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,10.062,0.17448,-0.00017105,7.77E-08,-1.33E-11,-470.07,119.44
2C5F10,2_pentene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)F,9.1206,0.17742,-0.00017433,7.92E-08,-1.36E-11,-478.17,119.98
1C6F12,hexene.log,C(F)(F)(C(=C(F)F)F)C(C(C(F)(F)F)(F)F)(F)F,11.802,0.21282,-0.00020922,9.51E-08,-1.63E-11,-567.5,134.2
2C6F12,2_hexene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)F,10.874,0.21558,-0.0002122,9.65E-08,-1.66E-11,-575.6,135.25
1C7F14,heptene.log,C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,13.372,0.25169,-0.00024804,1.13E-07,-1.94E-11,-665.26,147.34
2C7F14,2_heptene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)F,12.666,0.2538,-0.00025026,1.14E-07,-1.96E-11,-673.36,149.61
1C8F16,octene.log,C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,15.173,0.28984,-0.00028597,1.30E-07,-2.24E-11,-763.52,161.73
2C8F16,2_octene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14.264,0.29254,-0.00028888,1.32E-07,-2.26E-11,-771.62,162.83
sC3F7,2_propyl.log,C(F)(F)(F)[C](F)C(F)(F)F,7.8084,0.11084,-0.00010769,4.83E-08,-8.17E-12,-318.55,99.051
sC4F9,c4_secondary_rad.log,C(F)(F)([C](F)C(F)(F)F)C(F)(F)F,8.7357,0.153,-0.00015161,6.92E-08,-1.19E-11,-417.63,113.918165
sC5F11,c5_secondary_rad.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)F,10.623,0.19066,-0.00018888,8.62E-08,-1.48E-11,-515.44,129.45
sC6F13,c6_secondary_rad.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)F,12.314,0.22917,-0.00022726,1.04E-07,-1.79E-11,-613.03,142.85
sC7F15,c7_secondary_rad.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,14.118,0.26726,-0.0002651,1.21E-07,-2.08E-11,-710.8,157.13
sC8F17,c8_secondary_rad.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15.714,0.30607,-0.00030385,1.39E-07,-2.39E-11,-917.28,170.93
C2F4H2O,c2f4h2o_prod.log,C(F)(F)(C(F)F)O,4.0754,0.088753,-7.97E-05,3.44E-08,-5.70E-12,-264.63,80.947
PFHPAL,pfhpal.log,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(C(F)(F)F)(F)F)(F)F,14.026,0.26416,-0.00026033,1.19E-07,-2.04E-11,-723.56,151.43
PFHXAL,pfhxal.log,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(F)(F)F)(F)F,12.294,0.22583,-0.00022218,1.01E-07,-1.73E-11,-625.09,137.47
PFPNAL,pfpnal.log,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(F)(F)F,10.555,0.18749,-0.00018403,8.36E-08,-1.43E-11,-526.63,123.47
PFBAL,pfbal.log,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)F,8.7828,0.1493,-0.00014605,6.62E-08,-1.13E-11,-427.98,109.8
PFPAL,pfpal.log,C(C(C(=O)F)(F)F)(F)(F)F,6.9898,0.11121,-0.00010823,4.89E-08,-8.36E-12,-329.38,95.557
TFAL,tfal.log,C(C(=O)F)(F)(F)F,5.1988,0.073197,-7.05E-05,3.17E-08,-5.39E-12,-248.11,79.943
CFOH3,cfoh3.log,C(F)(O)(O)O,2.55,0.079268,-7.59E-05,3.52E-08,-6.19E-12,-207.12,71.934
CH2F,ch2F.log,[CH2]F,5.88,0.01476,-6.50E-06,1.08E-09,2.83E-15,-134.46,56.413
CF2OH2,cf2oh2.log,C(F)(F)(O)O,2.252,0.072219,-7.00E-05,3.24E-08,-5.66E-12,-212.82,70.375
LACTONE,lactone.log,C1(F)(C(=O)O1)F,3.2354,0.064148,-6.22E-05,2.82E-08,-4.84E-12,-139.22,71.645
CH3,ch3.log,[CH3],7.1829,0.0071344,9.56E-07,-1.68E-09,3.51E-13,35.82,50.1
CF2H,cf2h.log,[CH](F)F,4.4063,0.023832,-1.61E-05,5.07E-09,-5.88E-13,-180.46,61.224
COOH2,cooh2.log,C(=O)(O)O,1.5339,0.053254,-4.67E-05,2.02E-08,-3.39E-12,-145.57,64.209
CHO2H,cho2h.log,C(=O)O,3.6706,0.02813,-1.58E-05,4.02E-09,-3.26E-13,-88.67,59.346
CFHO,cfho.log,C(=O)F,4.9136,0.018727,-8.94E-06,1.26E-09,1.18E-13,-199.45,58.965
CFOH,cfoh_cis.log,[C](F)O,3.9553,0.027276,-2.21E-05,8.77E-09,-1.35E-12,-159.77,59.289
CFO2H,cfo2h.log,C(=O)(F)O,2.562,0.043465,-3.85E-05,1.66E-08,-2.75E-12,-147.28,63.717
CFO2,cfo2.log,O=C([O])F,3.743,0.036252,-3.44E-05,1.52E-08,-2.53E-12,-80,64.74
CF2COHO,cf2coho.log,[C](F)(F)C(=O)O,6.6578,0.060926,-5.53E-05,2.42E-08,-4.06E-12,-269,78.453
COOH,co2h.log,[C](=O)O,5.1135,0.022545,-1.70E-05,6.53E-09,-9.96E-13,-45.14,60.148
CO,co.log,[C]=O,7.1988,-0.0022294,5.64E-06,-3.46E-09,6.85E-13,-27.2,47.228
CF3CO,cf3co.log,C(F)(F)(F)[C]=O,5.8249,0.059384,-5.84E-05,2.68E-08,-4.64E-12,-147.16,77.255
CHFO2,chfo2.log,C(=O)(F)O,2.7681,0.043835,-3.97E-05,1.74E-08,-2.95E-12,0,63.927
CF2O_OH,cf2o_oh.log,FC([O])(O)F,2.885,0.063918,-6.36E-05,2.96E-08,-5.18E-12,0,70.725
TFCOF_OH,tfcof_oh.log,C(F)(F)(F)[C@@]([O])(F)O,4.6524,0.10215,-0.0001018,4.72E-08,-8.23E-12,0,85.745
HFPO-DA,frd_903.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)O)(C(F)(F)F)F,10.06,0.25241,-0.00024666,1.12E-07,-1.92E-11,0,143.52
HFPO-DAF,frd_903_carbF.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)F)(C(F)(F)F)F,11.577,0.2409,-0.00023634,1.07E-07,-1.84E-11,0,144.76
HFPO-DAlac,frd_903_0HFAts_prod_minusHF.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@]1(C(=O)O1)C(F)(F)F,9.2867,0.23195,-0.00022741,1.03E-07,-1.77E-11,0,138.47
HFPO-DAester,ester.log,C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)C(F)(F)F,9.7623,0.20242,-0.00019772,8.94E-08,-1.53E-11,0,131.11
HFPO-DAest_OH,ester_oh.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@](C(F)(F)F)([O])O,9.5262,0.23254,-0.00023163,1.07E-07,-1.85E-11,0,136.34
HFPO-DAF_OH,frd_903_carbF_OH.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(F)(F)F)(F)[C@@]([O])(F)O,11.034,0.27026,-0.00026829,1.23E-07,-2.13E-11,0,148.82
E1,e1.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@H](C(F)(F)F)F,8.5402,0.21078,-0.00020132,8.97E-08,-1.51E-11,0,130.72
E1_minusH,e1_minusH.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C](C(F)(F)F)F,9.656,0.20642,-0.00020377,9.27E-08,-1.59E-11,0,134.41
